latitude,longitude
34.0064596,-6.854711
34.0102284,-6.8614074
34.0062691,-6.8496065
34.0123673,-6.8524109
34.0176813,-6.8691476
34.0170449,-6.8555056
34.0059496,-6.8607722
34.0120634,-6.8855754
34.013371,-6.8840957
34.0136376,-6.8798153
34.0038564,-6.8808065
34.0025478,-6.8785262
34.0036325,-6.8821547
34.0108145,-6.8766638
34.0053509,-6.8766317
34.0119766,-6.8722694
34.0108443,-6.8735205
34.0134523,-6.8729154
34.0078517,-6.8740462
34.0139992,-6.8895697
34.0128307,-6.8787666
34.0106484,-6.8754755
34.0051674,-6.8767183
34.0143951,-6.8762937
34.0068818,-6.8789162
34.0124297,-6.8824195
34.0048171,-6.8742883
34.0001047,-6.87999
34.012216,-6.8747323
34.0148297,-6.8826896
34.00173,-6.8870981
34.0070415,-6.8790493
34.0075564,-6.8864349
34.0040917,-6.8872013
34.0117689,-6.8847674
34.011128,-6.8750746
34.0036299,-6.8817295
34.0068923,-6.8801151
34.0068998,-6.8828898
34.0045503,-6.8850429
34.0135277,-6.8864426
34.0104179,-6.8726162
34.0103273,-6.8829047
34.0111166,-6.8779692
34.0025194,-6.8822995
34.0035752,-6.8995056
33.9985332,-6.9037166
33.9962453,-6.8869265
34.0000088,-6.9038402
34.0005026,-6.8852703
33.9951284,-6.8957443
33.9962495,-6.9023624
33.9912405,-6.8973805
34.0003892,-6.9042338
33.9968739,-6.8961526
33.9971883,-6.902366
33.9933236,-6.9009468
33.9990089,-6.8970055
33.9978899,-6.8848482
33.9923186,-6.890414
33.9945208,-6.8828923
33.9938955,-6.8940799
33.9918009,-6.8921517
34.004967,-6.8882099
34.0006011,-6.896511
34.0047047,-6.8843218
33.9956239,-6.8900777
34.003924,-6.8829216
34.0048824,-6.8965697
33.9973577,-6.8936106
33.9961737,-6.8841932
34.000068,-6.8950787
33.9945037,-6.886821
34.0256338,-6.8518027
34.0169682,-6.8538727
34.0180465,-6.8550583
34.0164517,-6.8530861
34.0174445,-6.8421271
34.0247741,-6.8535089
34.0160519,-6.8532388
34.017828,-6.8428007
34.0157076,-6.8510257
34.0234357,-6.8573945
34.0174554,-6.8546436
34.0244853,-6.8580896
34.0184916,-6.8415741
34.0213933,-6.855633
34.0237551,-6.8578753
34.0193233,-6.8492218
34.0242811,-6.8509582
34.0163118,-6.8515867
34.0187663,-6.8590369
34.0249933,-6.8420843
34.0255019,-6.8424159
34.0260822,-6.8480089
34.0188124,-6.8446616
34.0187083,-6.8498114
34.0243586,-6.8598914
34.0248173,-6.8539142
34.0185908,-6.850306
34.0168897,-6.841445
34.0260876,-6.8522362
34.0259924,-6.8473251
34.0267592,-6.8495511
34.026998,-6.8470331
34.0186906,-6.8353078
34.0270357,-6.8331788
34.0209584,-6.8315241
34.0208916,-6.8285974
34.0234878,-6.8276752
34.0276866,-6.8239513
34.0217141,-6.8292308
34.0222398,-6.8264916
34.023415,-6.8270545
34.0199283,-6.8317652
34.0252162,-6.8395809
34.0265543,-6.8378862
34.0212215,-6.8380225
34.0230402,-6.8368959
34.0294236,-6.8221196
34.019619,-6.8242683
34.0299468,-6.8313836
34.0282976,-6.8292171
34.028015,-6.8379442
34.0205398,-6.8248429
34.025275,-6.8338869
34.023014,-6.8289451
34.0200623,-6.8339753
34.0286728,-6.828415
34.0188254,-6.8221789
34.0278411,-6.833697
34.0317356,-6.8316112
34.0284522,-6.8282025
34.0311602,-6.8271335
34.0275608,-6.8315164
34.020861,-6.82866
34.0296243,-6.8312058
34.0316176,-6.8330286
34.0244363,-6.8236967
34.028378,-6.8333055
34.033625,-6.8341179
34.0335803,-6.8284102
34.0269035,-6.8291449
34.0331083,-6.8311576
34.0349902,-6.8338609
34.0232081,-6.8347384
34.0238475,-6.8301715
34.0306791,-6.8340211
34.0251754,-6.8291924
34.0202364,-6.8225459
34.0293222,-6.8269614
33.9847596,-6.85048
33.9731978,-6.8593412
33.9839838,-6.8562451
33.9774032,-6.8548641
33.9765878,-6.8527238
33.9840465,-6.8520103
33.9758442,-6.8568999
33.9796198,-6.8504636
33.9788643,-6.8447427
33.9754351,-6.8518969
33.9842445,-6.8443786
33.9754414,-6.8523778
33.9730461,-6.8436104
34.0499492,-6.8121705
34.0537683,-6.8132261
34.0406801,-6.8299769
34.0495148,-6.8119904
34.0509106,-6.8175139
34.0540086,-6.8299635
34.0543614,-6.8259113
34.0505842,-6.8147095
34.0441597,-6.8234981
34.0496332,-6.8077665
34.0436477,-6.7854514
34.0498005,-6.8023342
34.0431381,-6.7950158
34.0527068,-6.7936096
34.0565734,-6.7931833
34.043168,-6.8026522
34.051117,-6.7938848
34.0522085,-6.7889674
34.041322,-6.7913181
34.054543,-6.7864821
34.0565671,-6.8039178
34.0504734,-6.7976241
34.0494071,-6.8022039
34.0561841,-6.806242
34.0527482,-6.791012
34.0522778,-6.8070796
34.0571649,-6.8033257
34.051437,-6.7997093
34.0453033,-6.7883987
34.0459538,-6.7963221
34.0553595,-6.7960542
34.0508306,-6.7942249
34.056349,-6.8037186
34.0475322,-6.7961807
34.0504195,-6.7985308
34.0417809,-6.8046811
34.0506184,-6.7860915
34.041744,-6.7984798
34.046304,-6.7995544
34.0410688,-6.8040174
34.0554427,-6.7878843
34.0429316,-6.8037807
34.0514303,-6.7903283
34.0495053,-6.8032608
34.0502121,-6.8059667
34.0555846,-6.802231
34.0549896,-6.7913726
34.0414542,-6.7947315
34.0400316,-6.7882236
34.0497996,-6.7963112
34.0478402,-6.8037358
34.0525927,-6.7955007
34.050149,-6.7885949
34.0541527,-6.8013335
34.0548597,-6.7956266
34.0570482,-6.7817546
34.0666768,-6.7816516
34.0695195,-6.7798248
34.0719327,-6.7743153
34.0644092,-6.7752347
34.0635897,-6.7889442
34.0714567,-6.782648
34.0644754,-6.7734398
34.0639646,-6.7747138
34.0574039,-6.7790071
34.064329,-6.7750282
34.0683597,-6.7757307
34.0646401,-6.7830985
34.0646652,-6.792331
34.070008,-6.79326
34.0700368,-6.7758681
34.0560711,-6.7930251
34.0609933,-6.7735757
34.0709583,-6.7937039
34.0671467,-6.7770756
34.0700663,-6.7947529
34.0620237,-6.7885953
34.0577469,-6.7831087
34.0599313,-6.7726764
34.0447489,-6.7912952
34.0422153,-6.7936452
34.0402707,-6.7959466
34.0435796,-6.7875096
34.0346422,-6.7850971
34.0359011,-6.7928097
34.0418303,-6.7917141
34.0355698,-6.7930625
34.0332665,-6.7929534
34.0380098,-6.7869913
34.0410674,-6.785271
34.034853,-6.7836047
34.0332402,-6.7865952
34.0367392,-6.789132
34.0365319,-6.7923546
34.0355214,-6.7999309
34.041048,-6.7998401
34.0418828,-6.7894071
34.0413546,-6.785867
34.0443639,-6.7913996
34.0326314,-6.799241
34.03959,-6.7941525
34.0423733,-6.7976714
34.0391717,-6.783071
34.0383566,-6.7944178
34.0421881,-6.7963565
34.0352914,-6.7946439
34.0379936,-6.7938447
34.0397805,-6.7890997
34.0330206,-6.7901569
34.0374839,-6.7836647
34.0353727,-6.7882155
34.0485706,-6.8306708
34.057623,-6.8300587
34.0500666,-6.8479028
34.047144,-6.8280261
34.0490544,-6.8425999
33.9098117,-6.9174877
33.9232269,-6.9285135
33.914208,-6.924484
33.9247417,-6.9211976
33.9240956,-6.9256563
33.9187366,-6.8901006
33.9151614,-6.8912912
33.9280814,-6.9028035
33.9182392,-6.8948957
33.92229,-6.8988566
33.9232744,-6.8987425
33.927781,-6.8893442
33.9178707,-6.9049241
33.9252717,-6.8885556
33.9248153,-6.8903378
33.9183024,-6.9058503
33.9257335,-6.9044702
33.9191025,-6.8891757
33.9186036,-6.9007407
33.9293966,-6.9044296
33.917729,-6.8905681
33.9255298,-6.9072482
33.923016,-6.89884
33.9155039,-6.8891697
33.9203822,-6.8914263
33.9206805,-6.9008367
33.9199941,-6.8916565
33.9221671,-6.8907408
33.9213755,-6.9002556
33.9160048,-6.9048916
33.9285986,-6.8977216
33.9261628,-6.8982687
33.9245901,-6.8989982
33.9254262,-6.9031429
33.9216354,-6.8914897
33.9153909,-6.8933073
33.9175018,-6.9059017
33.9209015,-6.8934671
33.920219,-6.9013613
33.9205207,-6.8896722
33.9245365,-6.890105
33.9292595,-6.9002418
33.9154701,-6.8890836
33.9416227,-6.9152628
33.9442058,-6.925802
33.94365,-6.9295563
33.9332752,-6.9244652
33.9461658,-6.9184709
33.9393658,-6.9157679
33.9304888,-6.9147162
33.9454034,-6.9247502
33.9302951,-6.9286868
33.9436163,-6.9227716
33.9446005,-6.9314706
33.9314502,-6.918476
33.9384586,-6.9347631
33.9378924,-6.9265902
33.9408833,-6.9166706
33.9325224,-6.9160427
33.9442152,-6.9222674
33.9338413,-6.9303615
33.9311034,-6.9236244
33.9375282,-6.9128062
33.9411999,-6.9044593
33.9495691,-6.9020072
33.9501633,-6.9069052
33.9462593,-6.9002424
33.9503333,-6.9101495
33.9413666,-6.9139
33.9422747,-6.9193242
33.9387824,-6.9117106
33.9413789,-6.9172674
33.9428974,-6.9036631
33.9436971,-6.9158229
33.9475326,-6.916445
33.9406213,-6.9087179
33.9491561,-6.914623
33.9394497,-6.9184219
33.9494897,-6.9173799
33.9470693,-6.9046266
33.9399267,-6.9097719
33.938802,-6.9141653
33.9459442,-6.9033803
33.9539114,-6.9086273
33.9494696,-6.9127003
33.9485304,-6.9065318
33.9402732,-6.9017234
33.9499105,-6.9080319
33.9549205,-6.9079928
33.9443956,-6.9062439
33.9474453,-6.9186263
33.9539432,-6.9016814
33.9406017,-6.9094465
33.9468155,-6.9063905
33.9478668,-6.8983632
33.9543828,-6.9034655
33.9388024,-6.903496
33.9389666,-6.9133985
33.9388912,-6.918607
33.9414068,-6.9011771
33.94291,-6.919943
33.9427357,-6.9146107
33.9506064,-6.9090904
33.9516718,-6.914019
33.9408962,-6.9084032
33.9409358,-6.8999633
33.9390628,-6.9066626
33.9088674,-6.9075764
33.9176978,-6.8955251
33.9148689,-6.894999
33.9180568,-6.8936471
33.9157485,-6.9047986
33.917975,-6.8981799
33.9065613,-6.8982359
33.9136839,-6.8982562
33.9187641,-6.895149
33.9062903,-6.8968332
33.9192412,-6.9029532
33.9094538,-6.9077704
33.911396,-6.9050795
33.9097132,-6.9080186
33.9088639,-6.8948086
33.9053051,-6.9009166
33.907185,-6.9058142
33.9178196,-6.9053011
33.9102068,-6.895279
33.9102467,-6.8951782
33.9105446,-6.9030204
33.9114442,-6.9087162
33.9071422,-6.9086805
33.9123363,-6.8991106
33.9157238,-6.8924483
33.9094971,-6.9045482
33.9124142,-6.9005572
33.9074502,-6.8970758
33.9092039,-6.9024014
33.9187225,-6.8974322
33.918152,-6.8946209
33.9092381,-6.899677
33.9320792,-6.8967281
33.9340229,-6.8846585
33.9343891,-6.8962211
33.9391506,-6.8932258
33.9373722,-6.914251
